Estacao,Data_Estacao,Data_Radar,Lat,Lon,Precip_Estacao,Distancia_Radar_km,DBZH,ZDR,KDP,Precip_Radar,Azimuth,Range
itatiba,2025-02-10 20:20:00,2025-02-10 20:20:00,-23.09251,-46.79673,0.0,0.31421433531895426,26.99999939650297,2.0699999537318945,-0.7099999841302633,1.42978943171499e+17,139.0,41.0
hortolandia,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.88507,-47.20263,0.0,0.061938253188662876,17.49999960884452,-7.439999833703041,-1.409999968484044,32009009200.033684,242.0,17.0
indaiatuba,2025-02-10 20:20:00,2025-02-10 20:20:00,-23.093,-47.2309,0.0,0.12472011858499443,31.999999284744263,0.0,0.0,4.521390364202054e+20,210.0,36.0
pedreira,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.7512,-46.8791,0.0,0.4904670105643108,15.999999642372131,-5.739999871701002,-1.409999968484044,2852806101.9921703,69.0,19.0
campinas,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.86744,-47.07288,0.0,0.20746664823269878,,-1.219999972730875,-93.16999791748822,,196.0,6.0
jaguariuna,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.6696,-46.9776,0.0,0.12717121456196853,0.9999999776482582,-6.019999865442514,2.1199999526143074,0.090213698802803,27.0,18.0
artur_nogueira,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.5695,-47.1758,0.0,0.2182342243697091,22.49999949708581,-4.519999898970127,0.7099999841302633,101221356484005.84,336.0,30.0
americana,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.7324,-47.35,0.0,0.5540167385702853,19.999999552965164,-4.139999907463789,0.6999999843537807,1799998703037.4307,287.0,31.0
nova_odessa,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.7775,-47.29583,0.0,0.1715369102715262,16.49999963119626,-7.909999823197722,2.819999936968088,6386637209.721724,279.0,25.0
campinas_taquaral,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.87194,-47.05816,0.0,0.4657755684404133,,-0.3799999915063381,21.889999510720372,,182.0,6.0
morungaba,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.8752,-46.7908,0.0,0.08056518572079086,23.999999463558197,-7.999999821186066,1.4199999682605267,1135722338625891.5,104.0,28.0
cosmopolis,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.66946,-47.15373,0.0,0.06569461164557386,16.49999963119626,-7.719999827444553,0.7099999841302633,6386637209.721724,328.0,19.0
monte_mor,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.9646,-47.3325,0.0,0.23163652633201956,24.499999452382326,-3.94999991171062,0.6999999843537807,2542565336110931.5,239.0,33.0
holambra,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.6463,-47.0512,0.0,0.3738148775066477,13.999999687075615,-7.719999827444553,-0.6999999843537807,113572264.72346464,2.0,19.0
paulinia,2025-02-10 20:20:00,2025-02-10 20:20:00,-22.7867,-47.1638,0.0,0.4935251260592652,,0.9399999789893627,-1.409999968484044,,285.0,11.0
